jumlah_carport,dapur,jumlah_garage,jumlah_lantai,kamar_mandi,kamar_tidur,luas_bangunan,luas_tanah,price_currency,price_unit,price_value,,,,,,,
4.0,2.0,4.0,1.0,5.0,4.0,600.0,750.0,Rp,Miliar,54.0,,,,,,,
8.0,2.0,8.0,2.0,5.0,5.0,1450.0,2800.0,Rp,Miliar,180.0,,,,,,,
3.0,2.0,3.0,2.0,3.0,4.0,375.0,473.0,Rp,Miliar,13.0,,,,,,,
3.0,1.0,1.0,2.0,3.0,5.0,340.0,270.0,Rp,Miliar,8.8,,,,,,,
1.0,1.0,1.0,2.0,1.0,2.0,350.0,338.0,Rp,Miliar,7.5,,,,,,,
1.0,2.0,1.0,3.0,4.0,4.0,280.0,102.0,Rp,Miliar,4.9,,,,,,,
2.0,2.0,2.0,2.0,5.0,5.0,350.0,536.0,Rp,Miliar,17.0,,,,,,,
2.0,2.0,4.0,3.0,4.0,4.0,603.0,264.0,Rp,Miliar,17.5,,,,,,,
1.0,1.0,1.0,3.0,6.0,4.0,230.0,90.0,Rp,Miliar,3.8,,,,,,,
2.0,2.0,1.0,2.0,3.0,6.0,250.0,300.0,Rp,Miliar,6.3,,,,,,,
2.0,1.0,2.0,2.0,2.0,3.0,103.0,53.0,Rp,Miliar,1.53,,,,,,,
1.0,1.0,1.0,2.0,3.0,4.0,260.0,300.0,Rp,Miliar,6.3,,,,,,,
2.0,1.0,2.0,2.0,6.0,6.0,400.0,564.0,Rp,Miliar,12.5,,,,,,,
2.0,1.0,2.0,1.0,4.0,4.0,417.0,417.0,Rp,Miliar,23.5,,,,,,,
2.0,2.0,2.0,2.0,2.0,3.0,66.0,75.0,Rp,Juta,800.0,,,,,,,
2.0,1.0,3.0,2.0,3.0,3.0,250.0,287.0,Rp,Miliar,7.0,,,,,,,
1.0,1.0,1.0,2.0,3.0,4.0,94.0,53.0,Rp,Miliar,2.4,,,,,,,
8.0,2.0,2.0,2.0,5.0,5.0,1000.0,1380.0,Rp,Miliar,78.0,,,,,,,
2.0,2.0,4.0,3.0,4.0,4.0,900.0,555.0,Rp,Miliar,35.0,,,,,,,
4.0,2.0,4.0,2.0,5.0,6.0,480.0,462.0,Rp,Miliar,17.9,,,,,,,
2.0,2.0,2.0,3.0,3.0,4.0,350.0,210.0,Rp,Miliar,8.0,,,,,,,
2.0,2.0,2.0,2.0,4.0,5.0,413.0,626.0,Rp,Miliar,30.0,,,,,,,
1.0,2.0,2.0,2.0,5.0,4.0,600.0,440.0,Rp,Miliar,21.0,,,,,,,
4.0,2.0,2.0,2.0,6.0,7.0,800.0,574.0,Rp,Miliar,20.5,,,,,,,
2.0,1.0,1.0,2.0,3.0,4.0,250.0,212.0,Rp,Miliar,3.6,,,,,,,
1.0,1.0,1.0,2.0,4.0,4.0,300.0,144.0,Rp,Miliar,6.5,,,,,,,
1.0,1.0,2.0,2.0,3.0,4.0,345.0,240.0,Rp,Miliar,9.0,,,,,,,
1.0,1.0,1.0,2.0,4.0,5.0,345.0,305.0,Rp,Miliar,18.0,,,,,,,
1.0,1.0,1.0,3.0,3.0,3.0,71.0,24.0,Rp,Juta,956.0,,,,,,,
1.0,1.0,1.0,2.0,3.0,5.0,310.0,379.0,Rp,Miliar,8.0,,,,,,,
1.0,1.0,1.0,2.0,2.0,2.0,120.0,60.0,Rp,Miliar,1.97,,,,,,,
1.0,1.0,1.0,3.0,4.0,4.0,300.0,144.0,Rp,Miliar,8.5,,,,,,,
1.0,1.0,1.0,2.0,3.0,3.0,200.0,371.0,Rp,Miliar,6.8,,,,,,,
2.0,1.0,4.0,2.0,5.0,5.0,1200.0,609.0,Rp,Miliar,42.0,,,,,,,
4.0,1.0,4.0,3.0,9.0,32.0,618.0,272.0,Rp,Miliar,6.0,,,,,,,
3.0,2.0,5.0,2.0,5.0,5.0,654.0,489.0,Rp,Miliar,29.0,,,,,,,
1.0,1.0,1.0,2.0,2.0,3.0,79.0,60.0,Rp,Miliar,1.8,,,,,,,
1.0,1.0,1.0,2.0,2.0,3.0,171.0,144.0,Rp,Miliar,5.0,,,,,,,
2.0,1.0,2.0,3.0,5.0,5.0,700.0,320.0,Rp,Miliar,48.5,,,,,,,
4.0,2.0,1.0,2.0,3.0,3.0,680.0,240.0,Rp,Miliar,30.0,,,,,,,
2.0,1.0,2.0,2.0,2.0,3.0,400.0,230.0,Rp,Miliar,10.0,,,,,,,
3.0,1.0,3.0,3.0,3.0,4.0,350.0,180.0,Rp,Miliar,8.8,,,,,,,
2.0,1.0,2.0,2.0,2.0,4.0,156.0,120.0,Rp,Miliar,3.5,,,,,,,
2.0,1.0,1.0,2.0,3.0,4.0,180.0,128.0,Rp,Miliar,1.9,,,,,,,
6.0,2.0,4.0,1.0,5.0,5.0,488.0,1635.0,Rp,Miliar,30.0,,,,,,,
3.0,1.0,3.0,2.0,4.0,4.0,538.0,244.0,Rp,Miliar,5.49,,,,,,,
3.0,1.0,2.0,1.0,3.0,3.0,320.0,230.0,Rp,Miliar,10.0,,,,,,,
2.0,1.0,2.0,2.0,4.0,4.0,607.0,887.0,Rp,Miliar,20.0,,,,,,,
2.0,2.0,2.0,2.0,5.0,5.0,216.0,270.0,Rp,Miliar,9.95,,,,,,,
2.0,1.0,2.0,2.0,3.0,3.0,400.0,235.0,Rp,Miliar,14.5,,,,,,,
1.0,1.0,1.0,2.0,2.0,3.0,210.0,150.0,Rp,Miliar,5.6,,,,,,,
5.0,1.0,2.0,1.0,6.0,5.0,450.0,518.0,Rp,Miliar,15.5,,,,,,,
2.0,2.0,2.0,2.0,8.0,6.0,1500.0,887.0,Rp,Miliar,30.0,,,,,,,
2.0,1.0,2.0,2.0,4.0,4.0,400.0,600.0,Rp,Miliar,9.5,,,,,,,
7.0,2.0,2.0,2.0,7.0,7.0,600.0,960.0,Rp,Miliar,48.0,,,,,,,
2.0,2.0,3.0,2.0,5.0,4.0,800.0,318.0,Rp,Miliar,29.0,,,,,,,
1.0,1.0,3.0,3.0,3.0,5.0,600.0,250.0,Rp,Miliar,10.2,,,,,,,
3.0,1.0,1.0,2.0,3.0,4.0,300.0,266.0,Rp,Miliar,9.0,,,,,,,
1.0,1.0,1.0,2.0,3.0,3.0,100.0,85.0,Rp,Miliar,1.4,,,,,,,
2.0,1.0,2.0,3.0,4.0,4.0,600.0,240.0,Rp,Miliar,15.0,,,,,,,
1.0,1.0,1.0,4.0,4.0,5.0,350.0,135.0,Rp,Miliar,6.97,,,,,,,
1.0,1.0,1.0,1.0,1.0,3.0,125.0,160.0,Rp,Miliar,4.8,,,,,,,
1.0,1.0,1.0,1.0,1.0,3.0,125.0,160.0,Rp,Miliar,4.7,,,,,,,
3.0,1.0,1.0,2.0,5.0,5.0,490.0,500.0,Rp,Miliar,45.0,,,,,,,
1.0,1.0,1.0,1.0,1.0,2.0,90.0,150.0,Rp,Miliar,2.7,,,,,,,
2.0,2.0,2.0,2.0,3.0,4.0,450.0,400.0,Rp,Miliar,14.5,,,,,,,
2.0,2.0,2.0,4.0,6.0,6.0,1000.0,270.0,Rp,Miliar,13.5,,,,,,,
1.0,1.0,1.0,2.0,4.0,4.0,750.0,360.0,Rp,Miliar,12.5,,,,,,,
2.0,2.0,1.0,2.0,3.0,5.0,250.0,152.0,Rp,Miliar,5.5,,,,,,,
2.0,2.0,2.0,2.0,5.0,5.0,600.0,860.0,Rp,Miliar,21.5,,,,,,,
2.0,2.0,2.0,2.0,4.0,5.0,350.0,653.0,Rp,Miliar,13.9,,,,,,,
1.0,1.0,1.0,2.0,3.0,3.0,300.0,150.0,Rp,Miliar,5.7,,,,,,,
2.0,1.0,2.0,2.0,4.0,5.0,288.0,190.0,Rp,Miliar,3.89,,,,,,,
2.0,1.0,2.0,2.0,3.0,4.0,218.0,153.0,Rp,Miliar,3.95,,,,,,,
1.0,1.0,1.0,3.0,3.0,3.0,138.0,60.0,Rp,Miliar,1.7,,,,,,,
2.0,1.0,2.0,3.0,2.0,6.0,178.0,98.0,Rp,Miliar,2.29,,,,,,,
2.0,1.0,2.0,3.0,4.0,4.0,238.0,105.0,Rp,Miliar,3.89,,,,,,,
2.0,1.0,2.0,3.0,3.0,4.0,338.0,164.0,Rp,Miliar,3.89,,,,,,,
2.0,1.0,2.0,4.0,4.0,3.0,243.0,77.0,Rp,Miliar,2.49,,,,,,,
1.0,1.0,1.0,4.0,3.0,3.0,238.0,80.0,Rp,Miliar,2.7,,,,,,,
1.0,1.0,1.0,2.0,3.0,3.0,97.0,55.0,Rp,Miliar,2.47,,,,,,,
1.0,1.0,1.0,2.0,3.0,3.0,103.0,53.0,Rp,Miliar,1.62,,,,,,,
1.0,1.0,3.0,3.0,3.0,5.0,600.0,250.0,Rp,Miliar,10.2,,,,,,,
2.0,1.0,1.0,3.0,3.0,4.0,540.0,510.0,Rp,Miliar,25.5,,,,,,,
2.0,1.0,2.0,2.0,4.0,4.0,103.0,53.0,Rp,Miliar,1.65,,,,,,,
1.0,1.0,1.0,2.0,3.0,3.0,69.0,48.0,Rp,Miliar,1.53,,,,,,,
2.0,2.0,1.0,2.0,4.0,5.0,900.0,736.0,Rp,Miliar,16.0,,,,,,,
10.0,2.0,2.0,1.0,3.0,3.0,500.0,1375.0,Rp,Miliar,43.0,,,,,,,
2.0,2.0,2.0,2.0,4.0,5.0,530.0,653.0,Rp,Miliar,13.9,,,,,,,
1.0,1.0,1.0,2.0,2.0,3.0,80.0,80.0,Rp,Miliar,2.5,,,,,,,
2.0,1.0,1.0,2.0,3.0,4.0,250.0,160.0,Rp,Miliar,5.75,,,,,,,
1.0,1.0,1.0,2.0,3.0,3.0,160.0,135.0,Rp,Miliar,3.9,,,,,,,
2.0,1.0,2.0,2.0,4.0,4.0,450.0,230.0,Rp,Miliar,9.5,,,,,,,
2.0,1.0,4.0,3.0,5.0,5.0,1200.0,609.0,Rp,Miliar,42.0,,,,,,,
2.0,1.0,2.0,3.0,4.0,4.0,400.0,220.0,Rp,Miliar,11.7,,,,,,,
1.0,1.0,2.0,2.0,4.0,4.0,350.0,264.0,Rp,Miliar,7.9,,,,,,,
3.0,2.0,3.0,3.0,4.0,3.0,611.0,791.0,Rp,Miliar,75.0,,,,,,,
12.0,3.0,4.0,2.0,6.0,7.0,600.0,1600.0,Rp,Miliar,36.0,,,,,,,
1.0,1.0,1.0,2.0,2.0,3.0,99.0,80.0,Rp,Miliar,2.4,,,,,,,
1.0,1.0,1.0,2.0,3.0,3.0,180.0,90.0,Rp,Miliar,3.0,,,,,,,
1.0,1.0,1.0,3.0,3.0,4.0,310.0,200.0,Rp,Miliar,9.1,,,,,,,
1.0,1.0,1.0,3.0,2.0,3.0,73.0,25.0,Rp,Juta,972.0,,,,,,,
2.0,2.0,2.0,2.0,4.0,9.0,739.0,821.0,Rp,Miliar,60.0,,,,,,,
2.0,1.0,2.0,2.0,3.0,3.0,300.0,237.0,Rp,Miliar,5.9,,,,,,,
1.0,1.0,1.0,2.0,4.0,4.0,400.0,300.0,Rp,Miliar,7.0,,,,,,,
1.0,1.0,1.0,1.0,3.0,4.0,300.0,220.0,Rp,Miliar,4.6,,,,,,,
3.0,1.0,4.0,2.0,4.0,5.0,800.0,1000.0,Rp,Miliar,34.9,,,,,,,
2.0,2.0,2.0,3.0,4.0,4.0,320.0,240.0,Rp,Miliar,12.8,,,,,,,
2.0,1.0,1.0,2.0,3.0,4.0,211.0,180.0,Rp,Miliar,4.22,,,,,,,
1.0,2.0,2.0,2.0,4.0,5.0,250.0,335.0,Rp,Miliar,10.0,,,,,,,
2.0,2.0,2.0,2.0,5.0,4.0,515.0,435.0,Rp,Miliar,29.5,,,,,,,
1.0,1.0,1.0,1.0,3.0,4.0,250.0,451.0,Rp,Miliar,19.5,,,,,,,
1.0,1.0,2.0,2.0,3.0,3.0,114.0,105.0,Rp,Miliar,2.5,,,,,,,
2.0,1.0,2.0,2.0,3.0,3.0,90.0,65.0,Rp,Juta,910.0,,,,,,,
8.0,1.0,2.0,2.0,3.0,5.0,372.0,800.0,Rp,Miliar,20.0,,,,,,,
2.0,1.0,2.0,2.0,4.0,5.0,400.0,506.0,Rp,Miliar,9.9,,,,,,,
1.0,1.0,1.0,1.0,1.0,2.0,45.0,55.0,Rp,Juta,508.0,,,,,,,
2.0,1.0,2.0,1.0,3.0,4.0,389.0,1438.0,Rp,Miliar,23.0,,,,,,,
1.0,1.0,1.0,2.0,4.0,4.0,330.0,207.0,Rp,Miliar,2.8,,,,,,,
1.0,1.0,1.0,3.0,2.0,3.0,90.0,42.0,Rp,Juta,850.0,,,,,,,
1.0,1.0,2.0,3.0,4.0,8.0,490.0,140.0,Rp,Miliar,3.5,,,,,,,
2.0,2.0,2.0,2.0,4.0,5.0,600.0,572.0,Rp,Miliar,19.0,,,,,,,
2.0,1.0,4.0,2.0,4.0,4.0,600.0,1047.0,Rp,Miliar,49.0,,,,,,,
2.0,1.0,1.0,2.0,3.0,3.0,180.0,220.0,Rp,Miliar,7.5,,,,,,,
2.0,1.0,2.0,2.0,3.0,3.0,90.0,72.0,Rp,Juta,975.0,,,,,,,
3.0,2.0,2.0,2.0,5.0,5.0,600.0,860.0,Rp,Miliar,22.0,,,,,,,
2.0,1.0,2.0,2.0,3.0,4.0,364.0,252.0,Rp,Miliar,12.5,,,,,,,
8.0,1.0,2.0,3.0,4.0,5.0,1400.0,1935.0,Rp,Miliar,69.0,,,,,,,
4.0,2.0,1.0,2.0,5.0,4.0,747.0,371.0,Rp,Miliar,18.5,,,,,,,
2.0,1.0,1.0,2.0,3.0,3.0,300.0,368.0,Rp,Miliar,21.0,,,,,,,
5.0,1.0,1.0,2.0,3.0,4.0,345.0,220.0,Rp,Miliar,4.5,,,,,,,
1.0,1.0,1.0,1.0,2.0,3.0,144.0,378.0,Rp,Miliar,6.9,,,,,,,
1.0,1.0,1.0,2.0,4.0,3.0,200.0,120.0,Rp,Miliar,4.5,,,,,,,
2.0,1.0,2.0,2.0,4.0,4.0,430.0,433.0,Rp,Miliar,7.85,,,,,,,
8.0,1.0,8.0,2.0,2.0,3.0,200.0,610.0,Rp,Miliar,25.5,,,,,,,
4.0,2.0,2.0,2.0,5.0,4.0,800.0,450.0,Rp,Miliar,22.0,,,,,,,
1.0,1.0,1.0,2.0,3.0,3.0,140.0,100.0,Rp,Miliar,2.75,,,,,,,
1.0,1.0,2.0,2.0,3.0,4.0,185.0,160.0,Rp,Miliar,3.5,,,,,,,
2.0,1.0,2.0,2.0,2.0,3.0,80.0,65.0,Rp,Miliar,1.34,,,,,,,
1.0,1.0,2.0,2.0,3.0,4.0,288.0,255.0,Rp,Miliar,6.5,,,,,,,
2.0,2.0,1.0,2.0,4.0,4.0,300.0,388.0,Rp,Miliar,10.0,,,,,,,
1.0,1.0,2.0,2.0,3.0,4.0,212.0,214.0,Rp,Miliar,8.29,,,,,,,
2.0,1.0,2.0,1.0,2.0,4.0,185.0,317.0,Rp,Miliar,6.8,,,,,,,
1.0,1.0,1.0,3.0,2.0,3.0,200.0,75.0,Rp,Miliar,1.25,,,,,,,
1.0,1.0,2.0,2.0,2.0,3.0,200.0,280.0,Rp,Miliar,5.9,,,,,,,
1.0,1.0,1.0,2.0,3.0,4.0,260.0,130.0,Rp,Miliar,2.9,,,,,,,
1.0,1.0,1.0,2.0,2.0,2.0,200.0,130.0,Rp,Miliar,1.7,,,,,,,
2.0,1.0,2.0,2.0,4.0,4.0,500.0,350.0,Rp,Miliar,12.0,,,,,,,
2.0,1.0,2.0,2.0,3.0,4.0,500.0,459.0,Rp,Miliar,9.8,,,,,,,
2.0,2.0,2.0,2.0,4.0,4.0,305.0,500.0,Rp,Miliar,9.9,,,,,,,
1.0,1.0,1.0,2.0,2.0,4.0,150.0,200.0,Rp,Miliar,3.75,,,,,,,
2.0,1.0,1.0,1.0,3.0,4.0,200.0,274.0,Rp,Miliar,7.67,,,,,,,
3.0,2.0,15.0,2.0,25.0,22.0,500.0,750.0,Rp,Miliar,35.0,,,,,,,
2.0,1.0,2.0,2.0,3.0,3.0,800.0,1110.0,Rp,Miliar,45.0,,,,,,,
1.0,1.0,1.0,2.0,1.0,4.0,180.0,133.0,Rp,Miliar,3.2,,,,,,,
1.0,1.0,2.0,1.0,3.0,4.0,330.0,187.0,Rp,Miliar,6.0,,,,,,,
2.0,1.0,2.0,2.0,4.0,4.0,400.0,312.0,Rp,Miliar,11.7,,,,,,,
10.0,2.0,2.0,2.0,4.0,4.0,1000.0,900.0,Rp,Miliar,14.0,,,,,,,
3.0,1.0,2.0,2.0,5.0,5.0,500.0,400.0,Rp,Miliar,10.5,,,,,,,
1.0,1.0,1.0,3.0,3.0,3.0,200.0,87.0,Rp,Miliar,2.9,,,,,,,
2.0,1.0,2.0,2.0,4.0,4.0,125.0,76.0,Rp,Miliar,1.52,,,,,,,
1.0,1.0,1.0,1.0,2.0,3.0,90.0,120.0,Rp,Miliar,1.6,,,,,,,
4.0,1.0,2.0,1.0,3.0,5.0,500.0,1200.0,Rp,Miliar,31.0,,,,,,,
1.0,1.0,1.0,2.0,10.0,13.0,200.0,299.0,Rp,Miliar,6.5,,,,,,,
2.0,1.0,1.0,2.0,3.0,4.0,250.0,180.0,Rp,Miliar,4.8,,,,,,,
4.0,2.0,2.0,2.0,3.0,5.0,500.0,710.0,Rp,Miliar,15.0,,,,,,,
3.0,1.0,1.0,2.0,3.0,4.0,240.0,243.0,Rp,Miliar,3.2,,,,,,,
2.0,1.0,2.0,2.0,4.0,4.0,103.0,53.0,Rp,Miliar,1.62,,,,,,,
6.0,1.0,4.0,1.0,2.0,5.0,312.0,689.0,Rp,Miliar,42.0,,,,,,,
2.0,2.0,1.0,1.0,3.0,3.0,300.0,509.0,Rp,Miliar,11.5,,,,,,,
2.0,2.0,2.0,2.0,6.0,5.0,800.0,500.0,Rp,Miliar,28.0,,,,,,,
4.0,2.0,2.0,2.0,5.0,5.0,1050.0,625.0,Rp,Miliar,50.0,,,,,,,
2.0,1.0,2.0,2.0,3.0,3.0,180.0,120.0,Rp,Miliar,2.9,,,,,,,
2.0,1.0,2.0,2.0,3.0,4.0,180.0,135.0,Rp,Miliar,3.0,,,,,,,
2.0,1.0,2.0,2.0,4.0,4.0,146.0,120.0,Rp,Miliar,3.4,,,,,,,
2.0,1.0,1.0,2.0,5.0,6.0,300.0,152.0,Rp,Miliar,3.9,,,,,,,
5.0,1.0,1.0,2.0,2.0,3.0,225.0,540.0,Rp,Miliar,7.3,,,,,,,
2.0,2.0,2.0,2.0,4.0,4.0,300.0,250.0,Rp,Miliar,4.0,,,,,,,
2.0,2.0,3.0,2.0,4.0,4.0,1200.0,816.0,Rp,Miliar,86.5,,,,,,,
1.0,1.0,1.0,2.0,3.0,3.0,90.0,108.0,Rp,Miliar,2.45,,,,,,,
1.0,1.0,2.0,2.0,2.0,4.0,180.0,230.0,Rp,Miliar,2.9,,,,,,,
1.0,1.0,1.0,2.0,3.0,3.0,84.0,54.0,Rp,Miliar,1.61,,,,,,,
1.0,2.0,1.0,2.0,3.0,5.0,300.0,265.0,Rp,Miliar,2.95,,,,,,,
4.0,1.0,2.0,2.0,6.0,6.0,550.0,350.0,Rp,Miliar,12.0,,,,,,,
2.0,2.0,2.0,4.0,5.0,5.0,350.0,168.0,Rp,Miliar,7.8,,,,,,,
2.0,1.0,2.0,3.0,4.0,4.0,170.0,103.0,Rp,Miliar,2.2,,,,,,,
1.0,2.0,2.0,2.0,3.0,4.0,300.0,296.0,Rp,Miliar,9.6,,,,,,,
1.0,1.0,1.0,2.0,2.0,3.0,55.0,53.0,Rp,Juta,700.0,,,,,,,
1.0,1.0,1.0,2.0,2.0,2.0,38.0,30.0,Rp,Juta,568.0,,,,,,,
4.0,1.0,4.0,2.0,5.0,6.0,480.0,499.0,Rp,Miliar,8.29,,,,,,,
1.0,1.0,1.0,1.0,3.0,5.0,250.0,295.0,Rp,Miliar,3.9,,,,,,,
2.0,1.0,2.0,2.0,3.0,4.0,200.0,575.0,Rp,Miliar,7.5,,,,,,,
2.0,1.0,2.0,2.0,3.0,3.0,300.0,230.0,Rp,Miliar,11.0,,,,,,,
2.0,1.0,2.0,3.0,4.0,5.0,250.0,200.0,Rp,Miliar,17.5,,,,,,,
2.0,1.0,2.0,2.0,3.0,4.0,330.0,300.0,Rp,Miliar,14.5,,,,,,,
2.0,1.0,2.0,2.0,3.0,4.0,150.0,120.0,Rp,Miliar,4.9,,,,,,,
2.0,1.0,2.0,4.0,8.0,5.0,1500.0,450.0,Rp,Miliar,42.0,,,,,,,
2.0,1.0,1.0,3.0,3.0,4.0,435.0,300.0,Rp,Miliar,12.5,,,,,,,
3.0,2.0,4.0,2.0,4.0,6.0,300.0,476.0,Rp,Miliar,8.5,,,,,,,
2.0,1.0,2.0,4.0,4.0,4.0,300.0,160.0,Rp,Miliar,5.5,,,,,,,
1.0,2.0,2.0,2.0,3.0,4.0,400.0,440.0,Rp,Miliar,21.5,,,,,,,
1.0,1.0,1.0,4.0,3.0,3.0,250.0,90.0,Rp,Miliar,3.9,,,,,,,
1.0,1.0,1.0,2.0,20.0,24.0,584.0,377.0,Rp,Miliar,6.5,,,,,,,
2.0,1.0,1.0,3.0,4.0,4.0,700.0,360.0,Rp,Miliar,19.5,,,,,,,
1.0,1.0,1.0,2.0,3.0,4.0,300.0,250.0,Rp,Miliar,6.5,,,,,,,
10.0,2.0,3.0,2.0,4.0,5.0,520.0,750.0,Rp,Miliar,12.5,,,,,,,
